OPCIÓN B,ADAM GRANT, - 9788416883158  
LA PARADOJA DEL CHIMPANCÉ,STEVE PETERS, - 9788499446134  
"AUNQUE TENGA MIEDO, HÁGALO IGUAL",SUSAN JEFFERS, - 9788499176000  
JUEGOS MINDFULNESS (E-BOOK),SUSAN KAISER GREENLAND, - 9788484457237  
"VIVIR EN PAZ, MORIR EN PAZ",SUZANNE POWELL, - 9788418000874  
LOS SECRETOS DE LA MENTE MILLONARIA,T. HARV EKER, - 9788478089321  
"RENDIRSE, NUNCA",TAMARA GORRO, - 9788427045637  
RENASER,TANIA KARAM, - 9786073186698  
EL PRINCIPIO,TARA SWART, - 9788408230847  
LA NIÑA QUE TODO LO QUERÍA SABER. LA CURIOSIDAD: CLAVES PARA UNA VIDA MÁS INTELIGENTE Y FELIZ,TERESA VIEJO, - 9788491397434  
EL LARGO CAMINO LLEVA A LA ALEGRÍA,THICH NHAT HANH, - 9788408258964  
KINTSUKUROI,TOMAS NAVARRO, - 9788408169666  
WABI SABI,TOMAS NAVARRO, - 9788408196846  
DOLORES DEL ALMA,VALERIA SCHAPIRA, - 9789507882005  
ABRAZA A TU NIÑO INTERIOR,VICTORIA CADARSO, - 9788499708287  
EL JUEGO INTERIOR DEL TENIS,W. TIMOTHY GALLWEY, - 9788478089222  
"YA TE DIJE ADIÓS, AHORA CÓMO TE OLVIDO",WALTER RISO, - 9788408168188  
"PENSAR BIEN, SENTIRSE BIEN",WALTER RISO, - 9788408080145  
EL DERECHO A DECIR NO,WALTER RISO, - 9788408080282  
LA MEDITACIÓN Y EL ARTE DE DIBUJAR,WENDY ANN GREENHALGH, - 9788417308735  
APRENDER A MORIR PARA PODER VIVIR,XAVI ARGEMI BALLBE, - 9788425360879  
LA LEY DEL ESPEJO,YOSHINORI NOGUCHI, - 9788418857256  
